Pesticides,Habitat,Climate,iter
0,0.12990725912686835,0.8700927408731316,1
0,0.3494583895683051,0.6505416104316949,2
0,0,1,3
0,0,1,4
0.08959329994862372,0,0.9104067000513762,5
0,0.25375292318374115,0.7462470768162588,6
0,0.046204996772861585,0.9537950032271384,7
0.21129649395308464,0.008989432877513198,0.7797140731694022,8
0.18619181615232272,0.07744015328474031,0.736368030562937,9
0,0,1,10
0,0,1,11
0,0.07437337980502913,0.9256266201949708,12
0.12332995214809772,0,0.8766700478519023,13
0.2341556282913997,0.1992847345256734,0.5665596371829269,14
0,0,1,15
0.19888371482108375,0,0.8011162851789163,16
0.4088431513087727,0.06796311544825066,0.5231937332429766,17
0.14466674086244297,0.12841808002504157,0.7269151791125155,18
0.41682264329382385,0.03156981858450854,0.5516075381216676,19
0.31921092795043626,0.305461748011996,0.37532732403756763,20
0,0,1,21
0,0,1,22
0.07727949619083942,0.07836596586868672,0.8443545379404738,23
0,0,1,24
0.09271363424651113,0.19115028322545763,0.7161360825280314,25
0,0.301730397530206,0.698269602469794,26
0,0,1,27
0,0.3621110096161341,0.6378889903838659,28
0,0.07558452402886048,0.9244154759711395,29
0,0,1,30
0.14324731809022206,0.2500863916010856,0.6066662903086923,31
0,0.17094634546093726,0.8290536545390627,32
0,0.15407032501402945,0.8459296749859705,33
0.11033226976445835,0.03866256255304714,0.8510051676824946,34
0,0.22855884629277393,0.7714411537072261,35
0,0,1,36
0,0.27827851843015883,0.7217214815698411,37
0,1,0,38
0.26996697732483577,0.6954532852711629,0.034579737404001255,39
0,0.4562827884634933,0.5437172115365067,40
0,0.01651557333066136,0.9834844266693387,41
0.04255733826288922,0,0.9574426617371108,42
0,0.0926523530201007,0.9073476469798992,43
0,0,1,44
0,0.025765172803911,0.9742348271960891,45
0.10723485226577957,0.26914927883686646,0.6236158688973539,46
0,0,1,47
0.14506399790764316,0.1522228222754065,0.7027131798169504,48
0,0.1575276383920949,0.8424723616079052,49
0,0.17195986217122275,0.8280401378287773,50
0,0,1,51
0.07160243636506891,0.19794885572408832,0.7304487079108428,52
0.1779141796217726,0.1911266891415468,0.6309591312366807,53
0,0.29669544613588983,0.7033045538641102,54
0,0.10824565247154085,0.8917543475284592,55
0,0.21809964911267163,0.7819003508873283,56
0.28391641805949336,0.12992255555756668,0.5861610263829399,57
0.03853035737451569,0,0.9614696426254843,58
0.5711059982795855,0.0384901191154781,0.39040388260493647,59
0,0.1297662098248893,0.8702337901751108,60
0,0.20753775017921774,0.7924622498207824,61
0.08209155829937913,0,0.9179084417006208,62
0.25704743952480624,0.008322697992756091,0.7346298624824376,63
0.2719260672011921,0.07857748333507204,0.6494964494637359,64
0.08345565736339183,0.1583721337197508,0.7581722089168574,65
0.08963907733453456,0.03815774715756248,0.8722031755079029,66
0,0.38103331901269216,0.6189666809873078,67
